path,git_blob_sha,role
experiments/WP-RT01/fit_runner_py35.py,3683737f9756c8b96c4c2e41f4372fc388fadb7d,frozen FIT runner
experiments/WP-RT01/fit_runner_q0_instrumented_py35.py,9a0585ecacc9bdb87ec469d9ea1ad9ce998ccc9e,qualified sidecar instrumentation
scripts/fit_rt01_stamp_stream.py,51a31081990c4d92e99462f7c6cd88736260036e,receiver timestamp stream
scripts/run_fit_r5_stage_a_loop.sh,74bd757f02fe16fb9b91809863641300d99527e3,scored Stage-A loop
scripts/analyze_r5_stage_a_run.py,860372c2ebfe4830c2cdd10da4b89b4fec6d7647,per-run adjudicator
scripts/adjudicate_r5_stage_a.py,1df21625b788b5c19db17a779da03fa08be5a2b2,aggregate Stage-A adjudicator
tests/test_r5_stage_a.py,69ec26b9a1db0f19b4df6e057149ba3252af227a,adversarial unit tests
experiments/WP-RT01/EXPERIMENT_CONTRACT.md,53f1e7860daf2f2492679f88b88df3f55ae314ea,historical experiment contract
experiments/WP-RT01/AMENDMENT_001_FIT_EXECUTION.md,da315b92f38f9758a6affedad7d8c32512cc1d83,historical execution amendment 001
experiments/WP-RT01/AMENDMENT_002_PREFINAL_CORRECTIONS.md,157609e9772f12b0ae528a9531f08cf2eee4b292,historical execution amendment 002
experiments/WP-RT01/FINAL_RESULTS_2026-08-23.md,1f5d443701d4e55ca3366906d3ed778fb199e36d,historical final result ledger
experiments/WP-RT01/Q0_REVIVAL_STATUS.md,d5c6e05def6a6cebf5c022606a550395bf20e659,instrumentation qualification record
experiments/WP-RT01/R5_STAGE_A_STATUS.md,62ca486a9b414ae06616c27a358cb60f0e1c297d,prospective Stage-A result/status
experiments/WP-RT01/R5_RAW_EVIDENCE_PRESERVATION.md,5581146dfe4706c7f8c4db68bc9b629e783e29c4,raw preservation record
