id,year,title,venue,doi,domain,real_hardware,controlled_connectivity_impairment,physical_rf_impairment,process_restart_test,durable_client_or_app_state,idempotent_or_duplicate_control,replication_or_large_campaign,open_or_repro_artifact,threat_level,wellpulse_implication
RW01,2025,"An approach to assess robustness of MQTT-based IoT systems","Internet of Things",10.1016/j.iot.2025.101590,"MQTT robustness / Smart Rural / MInA",YES,APPLICATION_FAULT_INJECTION,NO_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,REAL_CASE_STUDIES,UNKNOWN,HIGH,"MQTT robustness testing itself is not novel; distinguish RF/recovery/integrity question."
RW02,2025,"Business continuity of Cloud-based IoT applications through a seamless continuum","Internet of Things",10.1016/j.iot.2025.101723,"edge-cloud continuity",EMULATED_APPLICATION,YES_SOFTWARE_NETWORK_FAILURE,NO,UNKNOWN,YES_EDGE_MIRRORING_AND_RECONCILIATION,YES_RECONCILIATION,EXPERIMENTAL,UNKNOWN,HIGH,"Generic edge/cloud continuity and reconciliation are prior art."
RW03,2024,"Dimensioning payload size for fast retransmission of MQTT packets in the wake of network disconnections","EURASIP Journal on Wireless Communications and Networking",10.1186/s13638-023-02327-3,"healthcare MQTT recovery",YES,YES,NO_EVIDENCE,NO_EVIDENCE,YES_LOCAL_DATABASE,UNKNOWN,"YES_4300_TESTS_CONFIGS_REPEATED_100X",UNKNOWN,VERY_HIGH,"Database-backed store/retransmit is direct prior art; retain backlog-drain throughput and strong comparator."
RW04,2026,"The Price of Reliability: Stress-Testing MQTT in Practical IoT Communications","IEEE Internet of Things Magazine",10.1109/MIOT.2026.3681190,"MQTT reliability",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POTENTIALLY_VERY_HIGH,"Metadata confirmed; full methods/results must be obtained before final novelty freeze."
RW05,2024,"Dtnmqtt: A Resilient Drop-In Solution for MQTT in Challenging Network Conditions","FICC / LNNS",10.1007/978-3-031-54053-0_36,"DTN-enhanced MQTT",UNKNOWN,YES_CHALLENGED_NETWORKS,NO_EVIDENCE,UNKNOWN,DTN_BUNDLE_PERSISTENCE,UNKNOWN,EXPERIMENTAL,UNKNOWN,HIGH,"Resilient MQTT under disruption is prior art; mechanism differs from application record semantics."
RW06,2017,"Measuring and Adapting MQTT in Cellular Networks for Collaborative Smart Farming","IEEE LCN",10.1109/LCN.2017.81,"cellular smart farming",YES,REAL_HANDOVERS_AND_DEAD_ZONES,REAL_CELLULAR_ENVIRONMENT,UNKNOWN,QUEUE_STRATEGIES_STUDIED,UNKNOWN,EXPERIMENTAL,UNKNOWN,VERY_HIGH,"Agriculture+cellular+MQTT disruption is old; do not claim application-domain novelty."
RW07,2026,"CAMS F Edge DTN: Context-Aware Offline-First Synchronization and Local Reasoning Using CRDTs and MQTT-SN","Future Internet",10.3390/fi18040180,"offline-first DTN",CONTROLLED_CASES,YES_INTERMITTENT,NO_EVIDENCE,UNKNOWN,YES_OFFLINE_FIRST,YES_CRDT_CONVERGENCE,CONTROLLED_EXPERIMENTS,UNKNOWN,VERY_HIGH,"Offline-first plus reconciliation is prior art; WellPulse must rely on narrower integrity + causal validation package."
RW08,2026,"Experimental Validation of a Distributed 5G Core with Store-and-Forward for IoT Sensing over LEO Non-Terrestrial Networks","Sensors",10.3390/s26154919,"5G NTN store-and-forward",FUNCTIONAL_PROTOTYPE,YES_INTERMITTENT_BACKHAUL,EMULATED_NTN_NOT_PHYSICAL_RF_CAUSAL,UNKNOWN,YES_STORE_AND_FORWARD,UNKNOWN,EXPERIMENTAL,UNKNOWN,VERY_HIGH,"5G store-and-forward/lossless recovery is not novel."
RW09,2017,"A Disruption Tolerant Architecture based on MQTT for IoT Applications",UNKNOWN,UNKNOWN,"MQTT-SN + DTN",YES,YES_PARTITIONED_LINKS,UNKNOWN,UNKNOWN,YES_DTN,UNKNOWN,EXPERIMENTAL,UNKNOWN,HIGH,"Historical prior art for disruption-tolerant MQTT."
RW10,2026,"Configuration and execution of a scalable IoT architecture for smart home automation","Internet of Things",10.1016/j.iot.2026.101900,"NB-IoT MQTT smart home",PROTOTYPE,UNKNOWN,NB_IOT_BUT_NO_CAUSAL_RF_EVIDENCE_IN_ABSTRACT,UNKNOWN,UNKNOWN,UNKNOWN,EXPERIMENTAL,UNKNOWN,MEDIUM,"Generic MQTT/NB-IoT architecture is crowded; no overclaim."
