scenario,pair_index,run_order_1,run_order_2,authorization
S0_HEALTHY,1,B1_MQTT_QOS1,W1_OFFLINE_FIRST,MANDATORY
S0_HEALTHY,2,B1_MQTT_QOS1,W1_OFFLINE_FIRST,MANDATORY
S0_HEALTHY,3,B1_MQTT_QOS1,W1_OFFLINE_FIRST,MANDATORY
S1_INTERMITTENT,1,W1_OFFLINE_FIRST,B1_MQTT_QOS1,MANDATORY
S1_INTERMITTENT,2,B1_MQTT_QOS1,W1_OFFLINE_FIRST,MANDATORY
S1_INTERMITTENT,3,W1_OFFLINE_FIRST,B1_MQTT_QOS1,MANDATORY
S1_INTERMITTENT,4,W1_OFFLINE_FIRST,B1_MQTT_QOS1,RESERVE_PRECISION_ONLY
S1_INTERMITTENT,5,B1_MQTT_QOS1,W1_OFFLINE_FIRST,RESERVE_PRECISION_ONLY
S2_HARD_OUTAGE,1,B1_MQTT_QOS1,W1_OFFLINE_FIRST,MANDATORY
S2_HARD_OUTAGE,2,W1_OFFLINE_FIRST,B1_MQTT_QOS1,MANDATORY
S2_HARD_OUTAGE,3,W1_OFFLINE_FIRST,B1_MQTT_QOS1,MANDATORY
S2_HARD_OUTAGE,4,W1_OFFLINE_FIRST,B1_MQTT_QOS1,RESERVE_PRECISION_ONLY
S2_HARD_OUTAGE,5,W1_OFFLINE_FIRST,B1_MQTT_QOS1,RESERVE_PRECISION_ONLY
S3_OUTAGE_RESTART,1,B1_MQTT_QOS1,W1_OFFLINE_FIRST,MANDATORY
S3_OUTAGE_RESTART,2,B1_MQTT_QOS1,W1_OFFLINE_FIRST,MANDATORY
S3_OUTAGE_RESTART,3,W1_OFFLINE_FIRST,B1_MQTT_QOS1,MANDATORY
S3_OUTAGE_RESTART,4,W1_OFFLINE_FIRST,B1_MQTT_QOS1,RESERVE_PRECISION_ONLY
S3_OUTAGE_RESTART,5,B1_MQTT_QOS1,W1_OFFLINE_FIRST,RESERVE_PRECISION_ONLY
